['i m .', 'ik ben jaar .']
['you are mad .', 'je bent gek .']
['you re here .', 'u bent hier .']
['you re rich .', 'u bent rijk .']
['you re rich .', 'je bent rijk .']
['you re sick !', 'u bent ziek !']
['you re sick !', 'je bent ziek !']
['you re sick .', 'je bent ziek !']
['he is french .', 'hij is fransman .']
['he is a poet .', 'hij is dichter .']
['he s jealous .', 'hij is jaloers .']
['i am chinese .', 'ik ben chinees .']
['i am chinese .', 'ik ben chinese .']
['i am a woman .', 'ik ben een vrouw .']
['i am at home .', 'ik ben thuis .']
['i am curious .', 'ik ben nieuwsgierig .']
['i am married .', 'ik ben getrouwd .']
['i am married .', 'ik ben gehuwd .']
['i am thirsty .', 'ik heb dorst .']
['i m tom s ex .', 'ik ben de ex van tom .']
['i m a doctor .', 'ik ben arts .']
['i m a doctor .', 'ik ben dokter .']
['i m all ears .', 'ik ben een en al oor .']
['i m bleeding .', 'ik ben aan het bloeden .']
['i m confused .', 'ik ben verward .']
['i m famished .', 'ik ben uitgehongerd .']
['i m free now .', 'ik heb nu tijd .']
['i m hesitant .', 'ik twijfel .']
['i m in india .', 'ik ben in india .']
['i m new here .', 'ik ben hier nieuw .']
['i m not deaf .', 'ik ben niet doof .']
['i m not well .', 'het gaat mij slecht .']
['i m pregnant .', 'ik ben zwanger .']
['i m pregnant .', 'ik ben in verwachting .']
['i m starving !', 'ik ga dood van de honger !']
['she is eight .', 'zij is acht .']
['she is eight .', 'ze is acht jaar oud .']
['she is happy .', 'zij is gelukkig .']
['she is upset .', 'ze is boos .']
['she is upset .', 'ze is ontdaan .']
['she is wrong .', 'ze heeft ongelijk .']
['she s pretty .', 'zij is mooi .']
['they re kids .', 'ze zijn kinderen .']
['they re kids .', 'zij zijn kinderen .']
['they re lazy .', 'ze zijn lui .']
['we are arabs .', 'wij zijn arabieren .']
['we are happy .', 'we zijn gelukkig .']
['we re at war .', 'we zijn in oorlog .']
['we re coming .', 'we komen .']
['we re doomed .', 'we zijn gedoemd .']
['we re hungry .', 'wij hebben honger .']
['we re hungry .', 'we hebben honger .']
['you are rich .', 'u bent rijk .']
['you are rich .', 'jullie zijn rijk .']
['you are rich .', 'je bent rijk .']
['you re crazy .', 'je bent gek .']
['you re early .', 'je bent vroeg .']
['you re lying .', 'je liegt .']
['you re moody .', 'je bent chagrijnig .']
['you re moody .', 'jullie zijn chagrijnig .']
['you re moody .', 'je bent humeurig .']
['you re moody .', 'jullie zijn humeurig .']
['you re right .', 'je hebt gelijk .']
['you re scary .', 'je bent eng .']
['you re wrong .', 'je hebt het mis .']
['he is a thief .', 'hij is een dief .']
['he is no fool .', 'hij is niet gek .']
['he is reading .', 'hij leest .']
['he is running .', 'hij rent .']
['he s addicted .', 'hij is verslaafd .']
['he s friendly .', 'hij is vriendelijk .']
['he s in tokyo .', 'hij is in tokio .']
['he s innocent .', 'hij is onschuldig .']
['he s not sick .', 'hij is niet ziek .']
['i am a muslim .', 'ik ben moslim .']
['i am all ears .', 'ik ben een en al oor .']
['i am coughing .', 'ik ben aan het hoesten .']
['i am in india .', 'ik ben in india .']
['i am in paris .', 'ik ben in parijs .']
['i am new here .', 'ik ben hier nieuw .']
['i am not deaf .', 'ik ben niet doof .']
['i am who i am .', 'ik ben wie ik ben .']
['i m a student .', 'ik ben student .']
['i m a teacher .', 'ik ben leraar .']
['i m a tourist .', 'ik ben toerist .']
['i m all alone .', 'ik ben helemaal alleen .']
['i m expecting .', 'ik ben in verwachting .']
['i m important .', 'ik ben belangrijk .']
['i m in danger .', 'ik ben in gevaar .']
['i m in my car .', 'ik zit in mijn auto .']
['i m not picky .', 'ik ben niet kieskeurig .']
['i m on a diet .', 'ik ben op dieet .']
['i m powerless .', 'ik ben machteloos .']
['i m skeptical .', 'ik ben sceptisch .']
['i m tired now .', 'ik ben moe nu .']
['i m very busy .', 'ik heb het erg druk .']
['i m very poor .', 'ik ben heel arm .']
['she is active .', 'ze is actief .']
['she is strong .', 'ze is sterk .']
['she is strong .', 'zij is sterk .']
['they re happy .', 'zij zijn gelukkig .']
['we are at war .', 'we zijn in oorlog .']
['we are coming .', 'we komen .']
['we are doomed .', 'we zijn gedoemd .']
['we are hungry .', 'wij hebben honger .']
['we are hungry .', 'we hebben honger .']
['we re friends .', 'wij zijn vrienden .']
['we re leaving .', 'we gaan ervandoor .']
['we re wealthy .', 'wij zijn rijk .']
['you are crazy .', 'je bent gek .']
['you are lying .', 'je liegt .']
['you re trying .', 'je probeert het .']
['he is in tokyo .', 'hij is in tokio .']
['he is powerful .', 'hij is machtig .']
['he s my friend .', 'hij is mijn vriend .']
['i am hungarian .', 'ik ben hongaar .']
['i am hungarian .', 'ik ben hongaarse .']
['i am a shy boy .', 'ik ben een verlegen jongen .']
['i am a shy boy .', 'ik ben een schuchtere jongen .']
['i am a teacher .', 'ik ben leraar .']
['i am a tourist .', 'ik ben toerist .']
['i am too short .', 'ik ben te klein .']
['i am very tall .', 'ik ben heel lang .']
['i m a busy guy .', 'ik ben een druk baasje .']
['i m a free man .', 'ik ben een vrije man .']
['i m a free man .', 'ik ben een vrije mens .']
['i m a nice guy .', 'ik ben een aardige gast .']
['i m a prisoner .', 'ik ben een gevangene .']
['i m a salesman .', 'ik ben verkoper .']
['i m all thumbs .', 'ik heb twee linkerhanden .']
['i m an old man .', 'ik ben een oude man .']
['i m behind him .', 'ik sta achter hem .']
['i m busy today .', 'ik heb het druk vandaag .']
['i m dead tired .', 'ik ben doodmoe .']
['i m doing fine .', 'mij gaat het goed .']
['i m in the car .', 'ik ben in de auto .']
['i m not afraid .', 'ik ben niet bang .']
['i m not hiding .', 'ik verstop me niet .']
['i m not pretty .', 'ik ben niet mooi .']
['i m not scared .', 'ik ben niet bang .']
['i m not sleepy .', 'ik ben niet slaperig .']
['i m so thirsty .', 'ik heb zo n dorst .']
['i m so unlucky !', 'wat heb ik een pech !']
['i m sure of it .', 'ik weet het zeker .']
['i m unemployed .', 'ik ben werkloos .']
['i m used to it .', 'ik ben eraan gewend .']
['i m very short .', 'ik ben erg kort .']
['i m very sorry .', 'het spijt me zeer .']
['i m very tired .', 'ik ben heel moe .']
['she is a nurse .', 'ze is verpleegster .']
['she is awkward .', 'zij is onhandig .']
['she is awkward .', 'zij is onbeholpen .']
['she is walking .', 'ze is aan het lopen .']
['she s not here .', 'ze is niet hier .']
['she s pregnant .', 'ze is zwanger .']
['they are happy .', 'zij zijn gelukkig .']
['they re strong .', 'zij zijn sterk .']
['we are at home .', 'we zijn thuis .']
['we re students .', 'we zijn studenten .']
['we re the best .', 'wij zijn de besten .']
['we re with you .', 'wij zijn bij je .']
['we re with you .', 'wij zijn het met je eens .']
['we re with you .', 'wij staan aan jouw kant .']
['you re excused .', 'je bent verontschuldigd .']
['you re excused .', 'u bent verontschuldigd .']
['you re nervous .', 'u bent nerveus .']
['you re not fat .', 'je bent niet dik .']
['you re selfish .', 'je bent egoistisch .']
['you re wealthy .', 'je bent rijk .']
['you re welcome .', 'graag gedaan .']
['you re welcome .', 'tot uw dienst .']
['you re welcome .', 'niets te danken !']
['he is a painter .', 'hij is schilder .']
['he is a teacher .', 'hij is leraar .']
['he is depressed .', 'hij is depressief .']
['he is my father .', 'hij is mijn vader .']
['he is my friend .', 'hij is mijn vriend .']
['he is very kind .', 'hij is erg aardig .']
['he s a gardener .', 'hij is tuinier .']
['he s a good guy .', 'hij is een goeierik .']
['he s a good guy .', 'hij is een goede kerel .']
['he s a good lad .', 'hij is een goede kerel .']
['he s her friend .', 'hij is haar vriend .']
['he s photogenic .', 'hij is fotogeniek .']
['he s well built .', 'hij is goed gebouwd .']
['i am a good boy .', 'ik ben een brave jongen .']
['i am a good boy .', 'ik ben een goede jongen .']
['i am from spain .', 'ik ben van spanje .']
['i am not afraid .', 'ik ben niet bang .']
['i am not eating .', 'ik eet niet .']
['i am not eating .', 'ik ben niet aan het eten .']
['i am very tired .', 'ik ben heel moe .']
['i m a bit tired .', 'ik ben een beetje moe .']
['i m a foreigner .', 'ik ben een buitenlander .']
['i m a housewife .', 'ik ben huisvrouw .']
['i m a night owl .', 'ik ben een nachtvogel .']
['i m able to run .', 'ik kan lopen .']
['i m able to ski .', 'ik kan skien .']
['i m about ready .', 'ik ben bijna klaar .']
['i m an engineer .', 'ik ben ingenieur .']
['i m bored stiff .', 'ik verveel me dood .']
['i m defenseless .', 'ik ben weerloos .']
['i m doing great .', 'het gaat prima .']
['i m glad we won .', 'ik ben blij dat we hebben gewonnen .']
['i m going to go .', 'ik ga .']
['i m left handed .', 'ik ben linkshandig .']
['i m lucky today .', 'vandaag heb ik geluk .']
['i m now unarmed .', 'ik ben nu niet gewapend .']
['i m reading now .', 'ik zit nu te lezen .']
['i m reading now .', 'ik ben nu aan het lezen .']
['i m reading now .', 'ik lig nu te lezen .']
['i m reading now .', 'nu ben ik aan het lezen .']
['i m reading now .', 'nu zit ik te lezen .']
['i m reading now .', 'nu lig ik te lezen .']
['i m still alive .', 'ik ben nog in leven .']
['i m still alive .', 'ik leef nog .']
['i m such a fool .', 'ik ben zo n dwaas .']
['i m very hungry .', 'ik rammel van de honger .']
['i m your doctor .', 'ik ben je dokter .']
['i m your sister .', 'ik ben uw zuster .']
['she is japanese .', 'zij is japanse .']
['she is a beauty .', 'ze is een knappe vrouw .']
['she is a doctor .', 'ze is dokter .']
['she is a singer .', 'zij is zangeres .']
['she is a singer .', 'zij is een zanger .']
['she is a typist .', 'ze is typiste .']
['she is too weak .', 'ze is te zwak .']
['she seems happy .', 'ze lijkt gelukkig .']
['she s beautiful .', 'zij is mooi .']
['she s depressed .', 'zij is depressief .']
['she s my sister .', 'zij is mijn zuster .']
['she s my sister .', 'zij is mijn zus .']
['she s my sister .', 'ze is mijn zus .']
['they are yellow .', 'ze zijn geel .']
['they re reading .', 'ze zitten te lezen .']
['they re reading .', 'ze zijn aan het lezen .']
['they re reading .', 'ze liggen te lezen .']
['they re too big .', 'ze zijn te groot .']
['they re with me .', 'ze horen bij mij .']
['we are a couple .', 'we zijn een echtpaar .']
['we are students .', 'we zijn studenten .']
['we are the best .', 'wij zijn de besten .']
['we are with you .', 'wij zijn bij je .']
['we are with you .', 'wij zijn het met je eens .']
['we are with you .', 'wij staan aan jouw kant .']
['we aren t alone .', 'we zijn niet alleen .']
['we re all bored .', 'we vervelen ons allemaal .']
['we re both rich .', 'we zijn allebei rijk .']
['we re listening .', 'we zijn aan het luisteren .']
['we re neighbors .', 'we zijn buren .']
['we re not crazy .', 'we zijn niet gek .']
['we re realistic .', 'we zijn realistisch .']
['we re resigning .', 'wij nemen ontslag .']
['you are naughty .', 'jij bent ondeugend .']
['you are tallest .', 'jij bent de grootste .']
['you re a coward .', 'je bent een lafaard .']
['you re a person .', 'gij zijt een persoon .']
['you re an angel !', 'je bent een engel !']
['you re an angel .', 'je bent een engel !']
['you re dreaming .', 'je bent aan het dromen .']
['you re unbiased .', 'je bent onpartijdig .']
['you re unbiased .', 'u bent onpartijdig .']
['he is a beginner .', 'hij is een beginneling .']
['he is aggressive .', 'hij is agressief .']
['he is her friend .', 'hij is haar vriend .']
['he is in college .', 'hij studeert .']
['he is my brother .', 'hij is mijn broer .']
['he is my stepdad .', 'hij is mijn stiefvader .']
['he is not stupid .', 'hij is niet gek .']
['he is photogenic .', 'hij is fotogeniek .']
['he s a gentleman .', 'hij is een heer .']
['he s a historian .', 'hij is historicus .']
['he s always busy .', 'hij is altijd bezig .']
['he s getting old .', 'hij wordt ouder .']
['he s getting old .', 'hij wordt oud .']
['he s intelligent .', 'hij is intelligent .']
['he s unconscious .', 'hij is bewusteloos .']
['i am a housewife .', 'ik ben huisvrouw .']
['i am a masochist .', 'ik ben een masochist .']
['i am a professor .', 'ik ben professor .']
['i am cooking now .', 'ik ben aan het koken .']
['i am eating rice .', 'ik eet rijst .']
['i am eating rice .', 'ik ben rijst aan het eten .']
['i am not a witch .', 'ik ben geen heks .']
['i am truly sorry .', 'het spijt me werkelijk .']
['i m years old .', 'ik ben jaar .']
['i m years old .', 'ik ben achttien jaar oud .']
['i m a bit hungry .', 'ik heb een beetje honger .']
['i m a little fat .', 'ik ben een beetje dik .']
['i m a translator .', 'ik ben vertaler .']
['i m a vegetarian .', 'ik ben vegetarier .']
['i m able to swim .', 'ik kan zwemmen .']
['i m already done .', 'ik ben al klaar .']
['i m confused now .', 'nu ben ik in de war .']
['i m disappointed .', 'ik ben teleurgesteld .']
['i m free tonight .', 'vanavond heb ik tijd .']
['i m free tonight .', 'ik ben deze nacht vrij .']
['i m glad tom won .', 'ik ben blij dat tom heeft gewonnen .']
['i m going to run .', 'ik ga hardlopen .']
['i m happy we won .', 'ik ben blij dat we hebben gewonnen .']
['i m in the house .', 'ik ben in het huis .']
['i m just curious .', 'ik ben gewoon benieuwd .']
['i m just looking .', 'ik ben alleen maar aan het kijken .']
['i m not a doctor .', 'ik ben geen dokter .']
['i m not an idiot .', 'ik ben geen idioot .']
['i m not busy now .', 'ik heb het nu niet druk .']
['i m not suicidal .', 'ik heb geen zelfmoordneigingen .']
['i m not sure why .', 'ik ben niet zeker waarom .']
['i m on the porch .', 'ik ben op de veranda .']
['i m on the porch .', 'ik sta voor de deur .']
['i m proud of you .', 'ik ben trots op je .']
['i m really tired .', 'ik ben doodmoe .']
['i m really tired .', 'ik ben doodop .']
['i m really tired .', 'ik ben uitgeput .']
['i m retired too .', 'ik ben ook met pensioen .']
['i m still hungry .', 'ik heb nog steeds honger .']
['i m very relaxed .', 'ik ben heel relaxed .']
['she is a student .', 'zij is een student .']
['she is a teacher .', 'ze is lerares .']
['she is beautiful .', 'zij is mooi .']
['she is no beauty .', 'ze is geen schoonheid .']
['she smokes a lot .', 'zij rookt veel .']
['they are arguing .', 'ze zijn aan het bekvechten .']
['they are singers .', 'zij zijn zangers .']
['they are singers .', 'zij zijn zangeressen .']
['they re children .', 'ze zijn kinderen .']
['they re children .', 'zij zijn kinderen .']
['we re classmates .', 'we zijn klasgenoten .']
['we re out of tea .', 'we hebben geen thee meer .']
['we re still here .', 'we zijn er nog steeds .']
['we re very sorry .', 'het spijt ons ontzettend .']
['you are a doctor .', 'je bent een dokter .']
['you are children .', 'gij zijt kinderen .']
['you are children .', 'jullie zijn kinderen .']
['you are dreaming .', 'je bent aan het dromen .']
['you re a monster .', 'je bent een schurk .']
['you re a problem .', 'jullie zijn een probleem .']
['you re beautiful .', 'jij bent mooi .']
['you re beautiful .', 'jullie zijn mooi .']
['you re in my way .', 'je staat in mijn weg .']
['you re my friend .', 'je bent mijn vriend .']
['you re not fired .', 'je bent niet ontslagen .']
['he is a biologist .', 'hij is bioloog .']
['he is a gentleman .', 'hij is een heer .']
['he is a scientist .', 'hij is wetenschapper .']
['he is getting old .', 'hij wordt ouder .']
['he is getting old .', 'hij wordt oud .']
['he is intelligent .', 'hij is intelligent .']
['he is introverted .', 'hij is introvert .']
['he is kind to her .', 'hij is aardig tegen haar .']
['he is quite right .', 'hij heeft helemaal gelijk .']
['he is still angry .', 'hij is nog steeds boos .']
['he is watching tv .', 'hij kijkt tv .']
['he s a big coward .', 'hij is een grote lafaard .']
['he s already left .', 'hij is al weg .']
['he s looking good .', 'hij ziet er goed uit .']
['he s not a doctor .', 'hij is geen dokter .']
['i am years old .', 'ik ben jaar .']
['i am years old .', 'ik ben jaar .']
['i am a vegetarian .', 'ik ben vegetarier .']
['i am almost ready .', 'ik ben bijna klaar .']
['i am disappointed .', 'ik ben teleurgesteld .']
['i am fond of cars .', 'ik ben dol op auto s .']
['i am from shikoku .', 'ik ben van shikoku .']
['i am in the house .', 'ik ben in het huis .']
['i am not a doctor .', 'ik ben geen dokter .']
['i am not busy now .', 'ik heb het nu niet druk .']
['i am not like you .', 'ik ben niet zoals jij .']
['i am right handed .', 'ik ben rechtshandig .']
['i m a busy person .', 'ik ben een druk iemand .']
['i m a human being .', 'ik ben een mens .']
['i m a new student .', 'ik ben een nieuwe studente .']
['i m all by myself .', 'ik ben helemaal in mijn eentje .']
['i m already ready .', 'ik ben al klaar .']
['i m always hungry .', 'ik heb altijd honger .']
['i m an astronomer .', 'ik ben een astronoom .']
['i m drinking milk .', 'ik drink melk .']
['i m just guessing .', 'ik vermoed dat alleen maar .']
['i m losing weight .', 'ik verlies gewicht .']
['i m losing weight .', 'ik ben aan het afvallen .']
['i m not a teacher .', 'ik ben geen leraar .']
['i m not a veteran .', 'ik ben geen veteraan .']
['i m not done here .', 'ik ben hier nog niet klaar .']
['i m not the owner .', 'ik ben niet de eigenaar .']
['i m not your maid .', 'ik ben uw meid niet .']
['i m proud of that .', 'ik ben daar trots op .']
['i m such an idiot .', 'ik ben zo n dwaas .']
['i m taking a bath .', 'ik zit in bad .']
['i m taking a bath .', 'ik ben een bad aan het nemen .']
['i m tired already .', 'ik ben nu al moe .']
['i m working again .', 'ik werk weer .']
['she is a beginner .', 'zij is een beginneling .']
['she is aggressive .', 'ze is agressief .']
['she is attractive .', 'ze is aantrekkelijk .']
['she is her friend .', 'zij is haar vriend .']
['she is his friend .', 'zij is zijn vriend .']
['she is thirty one .', 'zij is eenendertig jaar .']
['she is thirty one .', 'ze is eenendertig jaar .']
['she speaks loudly .', 'ze spreekt luid .']
['she spoke rapidly .', 'ze sprak snel .']
['she s our teacher .', 'zij is onze docent .']
['she s our teacher .', 'zij is onze lerares .']
['she s our teacher .', 'zij is onze juf .']
['she s unconscious .', 'ze is bewusteloos .']
['they are very big .', 'ze zijn heel groot .']
['they re both dead .', 'ze zijn beiden dood .']
['we are australian .', 'we zijn australiers .']
['we re almost done .', 'we zijn bijna klaar .']
['we re in no hurry .', 'we hebben geen haast .']
['we re old friends .', 'we zijn oude vrienden .']
['we re quite drunk .', 'we zijn heel dronken .']
['we re ready to go .', 'we zijn klaar om te gaan .']
['we re ready to go .', 'we zijn klaar om te vertrekken .']
['we re replaceable .', 'wij zijn vervangbaar .']
['we re watching tv .', 'we zijn tv aan het kijken .']
['you are beautiful .', 'ge zijt mooi .']
['you are beautiful .', 'jij bent mooi .']
['you are beautiful .', 'jullie zijn mooi .']
['you are in my way .', 'je staat in de weg .']
['you are my friend .', 'ge zijt mijn vriend .']
['you are my friend .', 'je bent mijn vriend .']
['you re aggressive .', 'je bent agressief .']
['you re in my seat .', 'je zit op mijn stoel .']
['you re incredible .', 'je bent ongelofelijk !']
['you re incredible .', 'jullie zijn ongelofelijk .']
['you re just a boy .', 'je bent maar een jongen .']
['you re just a kid .', 'je bent maar een kind .']
['you re my friends .', 'jullie zijn mijn vrienden .']
['you re overweight .', 'je bent te dik .']
['you re photogenic .', 'je bent fotogeniek .']
['you re right tom .', 'je hebt gelijk tom .']
['you re such a pig .', 'wat ben je toch een zwijn .']
['he is a bus driver .', 'hij is een busbestuurder .']
['he is about thirty .', 'hij is ongeveer dertig .']
['he is about to die .', 'hij staat op het punt om te sterven .']
['he is always happy .', 'hij is altijd gelukkig .']
['he is an fbi agent .', 'hij is een agent van het fbi .']
['he is not a doctor .', 'hij is geen dokter .']
['he is playing golf .', 'hij is golf aan het spelen .']
['he is sure to come .', 'ik weet zeker dat hij komt .']
['he is very learned .', 'hij is heel geleerd .']
['he s a fast walker .', 'hij kan snel lopen .']
['he s a good person .', 'hij is een goed mens .']
['he s a good person .', 'hij is een goeierik .']
['he s a kind person .', 'hij is een vriendelijk persoon .']
['he s already a man .', 'hij is al een man .']
['he s an englishman .', 'hij is een engelsman .']
['he s my first love .', 'hij is mijn eerste liefde .']
['he s my stepfather .', 'hij is mijn stiefvader .']
['he s not a bad guy .', 'het is geen slechte kerel .']
['he s not available .', 'hij is niet beschikbaar .']
['he s not my father .', 'hij is niet mijn vader .']
['he s not my father .', 'hij is mijn vader niet .']
['i am an only child .', 'ik ben enig kind .']
['i am doing my best .', 'ik doe mijn best .']
['i am not a teacher .', 'ik ben geen leraar .']
['i am probably lost .', 'waarschijnlijk ben ik verdwaald .']
['i m tom s fiancee .', 'ik ben toms verloofde .']
['i m tom s roommate .', 'ik ben toms kamergenoot .']
['i m tom s roommate .', 'ik ben toms kamergenote .']
['i m a bit confused .', 'ik ben een beetje in de war .']
['i m a little tired .', 'ik ben een beetje moe .']
['i m a tourist too .', 'ik ben ook een toerist .']
['i m afraid of dogs .', 'ik heb schrik van honden .']
['i m also a teacher .', 'ik ben ook leraar .']
['i m angry with her .', 'ik ben kwaad op haar .']
['i m angry with her .', 'ik ben boos op haar .']
['i m as tall as tom .', 'ik ben net zo groot als tom .']
['i m as tall as you .', 'ik ben zo lang als jou .']
['i m bleeding badly .', 'ik bloed erg veel .']
['i m bored to death .', 'ik verveel me dood .']
['i m coming at once .', 'ik kom onmiddellijk .']
['i m drinking water .', 'ik drink water .']
['i m free on sunday .', 'ik ben vrij op zondag .']
['i m from singapore .', 'ik kom uit singapore .']
['i m gaining weight .', 'ik word dikker .']
['i m gaining weight .', 'ik kom bij .']
['i m gaining weight .', 'mijn gewicht neemt toe .']
['i m going downtown .', 'ik ga naar het stadscentrum .']
['i m going to start .', 'ik ga beginnen .']
['i m going with you .', 'ik ga met je mee .']
['i m good at tennis .', 'ik speel goed tennis .']
['i m good to go now .', 'ik ben nu klaar om te gaan .']
['i m having a blast .', 'ik vermaak me mateloos .']
['i m in the kitchen .', 'ik ben in de keuken .']
['i m just beginning .', 'ik begin pas .']
['i m late aren t i ?', 'ik ben te laat of niet ?']
['i m learning czech .', 'ik leer tsjechisch .']
['i m not a teenager .', 'ik ben geen tiener .']
['i m not free today .', 'vandaag ben ik niet vrij .']
['i m not going back .', 'ik ga niet terug .']
['i m not hungry yet .', 'ik heb nog geen honger .']
['i m not your enemy .', 'ik ben niet je vijand .']
['i m on the balcony .', 'ik ben op het balkon .']
['i m short of money .', 'ik zit krap bij kas .']
['i m short of money .', 'ik heb weinig geld .']
['i m taking lipitor .', 'ik neem lipitor .']
['i m trying to work .', 'ik probeer te werken .']
['i m very tired now .', 'ik ben nu erg moe .']
['she is a kind girl .', 'ze is een aardig meisje .']
['she is about forty .', 'ze is ongeveer veertig .']
['she is kind to him .', 'ze is vriendelijk tegen hem .']
['she is very clever .', 'ze is heel slim .']
['she is very pretty .', 'ze is erg knap .']
['she sat next to me .', 'ze zat naast me .']
['she sat next to me .', 'ze zat naast mij .']
['she speaks russian .', 'zij spreekt russisch .']
['she s at a meeting .', 'ze is in een vergadering .']
['she s my classmate .', 'zij is mijn klasgenoot .']
['she s only a child .', 'ze is maar een kind .']
['they aren t stupid .', 'ze zijn niet dom .']
['they re not stupid .', 'ze zijn niet dom .']
['they re part of us .', 'ze zijn deel van ons .']
['we are australians .', 'we zijn australiers .']
['we re closed today .', 'we zijn vandaag gesloten .']
['we re just friends .', 'we zijn maar vrienden .']
['we re not free yet .', 'we zijn nog niet vrij .']
['we re the same age .', 'we zijn even oud .']
['you are a good boy .', 'je bent een goede jongen .']
['you are my friends .', 'jullie zijn mijn vrienden .']
['you are very brave .', 'u bent erg moedig .']
